keyword,count
gestion,36
informatique,27
management,25
international,20
marketing,17
science,15
commerce,14
formation,13
affaire,13
communication,12
entreprise,11
technologie,11
finance,10
comptabilité,10
juridique,10
économique,9
droit,9
assurance,9
logistique,9
humaine,8
transport,8
réseaux,7
télécommunication,7
banque,7
génie,7
environnement,6
développement,6
enseignement,5
ingénierie,5
ressource,5
technique,5
langue,5
internationale,4
administration,4
journalisme,4
lettre,4
sociale,4
sécurité,4
civil,4
assistanat,3
hygiène,3
statistique,3
master,3
politique,3
tourisme,3
numérique,3
sociologie,2
architecture,2
direction,2
projet,2
fiscal,2
tic,2
douane,2
industrie,2
énergie,2
recherche,2
renouvelable,2
construction,2
art,2
télécom,2
médecine,2
faculté,2
vente,2
réseau,2
bureautique,2
information,2
ingénieur,2
audiovisuel,2
public,2
vocation,2
anglai,2
création,2
